episode_id,n_observations_in_bin,mean_full_7d,mean_arm_6d,mean_translation,mean_orientation,mean_gripper_difference,gripper_flip_count
0,4,1.7341881712638845,0.7964474670593962,0.7936138525441947,0.05592493897894337,1.5122976899147034,3
1,4,1.0103973412038865,0.5698615895952212,0.5640490285757632,0.057083539082538215,0.5143158137798309,1
2,4,1.5132030644303565,0.7972047853108849,0.795127722899006,0.051488325813990855,1.0028117448091507,2
3,4,0.7544938657742145,0.7540299242647965,0.7506244868196529,0.06477958622974145,0.0210113525390625,0
4,4,1.4307931347048286,0.6562681357995944,0.6553705388129888,0.030850267742503445,1.0020965933799744,2
5,4,1.1716782826741685,0.8016344687949661,0.7994484919064815,0.05606637379113823,0.4980193078517914,1
6,4,1.7944572552318352,0.8288845151044677,0.8284729333008594,0.023533230183995384,1.497527003288269,3
7,3,2.1494576269230112,0.7540125183655393,0.75276730830277,0.04328161242251333,2.0115840236345925,3
8,4,0.8534031255056471,0.4917045692142625,0.4888112866468268,0.04040984213916646,0.5246676206588745,1
9,4,0.9154099861440825,0.5472257986445046,0.5431925627730577,0.040122419795400786,0.5176833122968674,1
