episode_id,frame_index,source_eef_x,source_eef_y,source_eef_z,target_mj_x,target_mj_y,target_mj_z,ik_q1,ik_q2,ik_q3,ik_q4,ik_q5,ik_q6,ik_q7,ik_residual_m,ik_iterations
0,0,-0.04658396542072296,0.0010548062855377793,0.6923741102218628,0.5005274031427689,-0.14217321798205376,0.6633571493625641,-0.13029178258328133,-0.09656367791449816,-0.13328232080992958,-1.5897350170106725,-0.02650303907531988,1.5296564095655643,-0.7853,7.079533926459213e-05,4
0,1,-0.04387640208005905,-0.0020439513027668,0.6936200857162476,0.4989780243486166,-0.13973641097545625,0.6642916309833526,-0.12834490756113642,-0.10178025318121633,-0.13128897954032898,-1.592742918597123,-0.02607364139547071,1.5262567631818924,-0.7853,4.714366191508677e-05,2
0,2,-0.04064429923892021,-0.005328942555934191,0.6951491236686707,0.4973355287220329,-0.13682751841843127,0.66543840944767,-0.12597156121331812,-0.10778012959835248,-0.12883222736820946,-1.5961334679356078,-0.025549984626376938,1.5223699613956658,-0.7853,5.0532390037129097e-05,2
0,3,-0.03690924495458603,-0.009011090733110905,0.6966440677642822,0.49549445463344455,-0.1334659695625305,0.6665596175193786,-0.12322254207979609,-0.11448112339335534,-0.12596373330165633,-1.600202519928812,-0.024940090122398506,1.5178587446105534,-0.7853,5.550208912619904e-05,2
0,4,-0.03270207345485687,-0.013398552313446999,0.697981059551239,0.4933007238432765,-0.12967951521277427,0.6675623613595962,-0.12014622697128013,-0.12218691799616192,-0.12272618627281456,-1.6054021427789145,-0.024248700595452047,1.5123714944423914,-0.7853,6.38673786313947e-05,2
0,5,-0.028227034956216812,-0.018578186631202698,0.6991662383079529,0.49071090668439865,-0.1256519805639982,0.6684512454271316,-0.11690612041178475,-0.13088030318219773,-0.11929030707653841,-1.6116968551374067,-0.023511035539419745,1.5059380269720741,-0.7853,7.312508812463154e-05,2
0,6,-0.023522794246673584,-0.02424776367843151,0.7003564834594727,0.48787611816078424,-0.12141816392540931,0.6693439292907715,-0.11350343956054479,-0.14020909403267237,-0.11565915623738851,-1.6185276342092034,-0.022732147495569708,1.4989880907632789,-0.7853,7.895822374111426e-05,2
0,7,-0.018473271280527115,-0.03036446124315262,0.7016168832778931,0.4848177693784237,-0.11687359325587748,0.6702892291545868,-0.10983966560933571,-0.1501746459731414,-0.11172198116493398,-1.6257919746577263,-0.021889306183901593,1.491577188278159,-0.7853,8.377093897524736e-05,2
0,8,-0.013061217032372952,-0.03707506135106087,0.7027972936630249,0.48146246932446957,-0.11200274443253874,0.6711745369434357,-0.10590982943696693,-0.16090987000500584,-0.10746585680274891,-1.6338166400579044,-0.020976643844074553,1.4834809036728303,-0.7853,9.053668808946937e-05,2
0,9,-0.007210342213511467,-0.04456368088722229,0.703705906867981,0.47771815955638885,-0.10673695709556341,0.6718559968471527,-0.10166429137036886,-0.17261657600454602,-0.10282669453984435,-1.643052076922141,-0.01997673605241172,1.47438461629764,-0.7853,9.968726631726342e-05,2
